UACE CD,UZA Name,UZA Population,Total Vehicle Revenue Miles,Total Vehicle Revenue Hours,Total Passenger Miles Traveled,Total Unlinked Passenger Trips,Total Operating Expenses,Fixed Guideway Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Fixed Guideway Directional Route Miles >= 7 Years,Fixed Guideway Vehicle Revenue Miles >= 7 Years,High Intensity Bus Directional Route Miles >= 7 Years,High Intensity Bus Vehicle Revenue Miles >= 7 Years
75340,"Riverside--San Bernardino, CA",2276703,15054852,897662,69263590,7649513,"$155,814,711.00 ",182,2355863,19726756,"$46,359,005.00 ",12698989,49536834,"$109,455,706.00 ",179.8,2355460,0,0
4843,"Baltimore, MD",2212038,50461080,3462232,248843102,50348418,"$751,599,061.00 ",234,10194122,49380399,"$197,215,248.00 ",40266958,199462703,"$554,383,813.00 ",230.3,9917179,0,0
47995,"Las Vegas--Henderson--Paradise, NV",2196623,27789932,2114355,166455588,42205824,"$249,557,082.00 ",56,1767386,15139024,"$18,254,267.00 ",26022546,151316564,"$231,302,815.00 ",33.9,970753,19.9,145311
77770,"St. Louis, MO--IL",2156323,27057160,1666014,118586733,19587282,"$292,590,259.00 ",91,5644509,45935872,"$92,958,654.00 ",21412651,72650861,"$199,631,605.00 ",91.1,5642881,0,0
71317,"Portland, OR--WA",2104238,39601824,3234479,225765368,56329018,"$608,580,083.00 ",171,9312836,107116592,"$199,102,442.00 ",30288988,118648776,"$409,477,641.00 ",170,9263154,4,22599
78580,"San Antonio, TX",1992689,31628660,1989494,122743198,25110089,"$224,226,999.00 ",0,0,0,$0.00 ,31628660,122743198,"$224,226,999.00 ",0,0,0,0
77068,"Sacramento, CA",1946618,15799725,1127487,56790760,11886782,"$234,478,115.00 ",85,3606132,26610460,"$78,612,388.00 ",12193593,30180300,"$155,865,727.00 ",84.9,3606132,0,0
65863,"Orlando, FL",1853896,20726704,1361613,88982950,14222836,"$182,614,112.00 ",105,1225857,15386797,"$66,900,870.00 ",19500847,73596153,"$115,713,242.00 ",69.5,780047,0,0
79093,"San Juan, PR",1844410,9896567,933307,33548447,7789550,"$140,327,506.00 ",40,2249324,11580239,"$78,090,613.00 ",7647243,21968208,"$62,236,893.00 ",39.7,2249324,0,0
79039,"San Jose, CA",1837446,26946071,1783130,167741296,22102814,"$529,047,610.00 ",241,9936569,86251919,"$225,696,726.00 ",17009502,81489377,"$303,350,884.00 ",223.1,4177082,158.5,135508
4384,"Austin, TX",1809888,23007440,1762505,107793018,20484348,"$285,786,934.00 ",64,673363,6415639,"$31,867,229.00 ",22334077,101377379,"$253,919,705.00 ",64.2,673363,0,0
69697,"Pittsburgh, PA",1745039,30588365,2272232,132356295,33174598,"$476,291,853.00 ",93,2914066,17657853,"$100,139,351.00 ",27674299,114698442,"$376,152,502.00 ",92.9,2914066,13.4,43476
17668,"Cleveland, OH",1712178,23973563,1796010,96161478,19677740,"$261,293,790.00 ",83,3274192,28947549,"$50,230,149.00 ",20699371,67213929,"$211,063,641.00 ",82.6,3274192,3.2,271339
41212,"Indianapolis, IN",1699881,11431983,765334,33121693,6028290,"$113,155,480.00 ",26,715899,3540990,"$9,634,784.00 ",10716084,29580703,"$103,520,696.00 ",0,0,0,0
16885,"Cincinnati, OH--KY",1686744,16713892,1199278,65732621,12589351,"$166,676,895.00 ",4,115744,1218795,"$3,660,085.00 ",16598148,64513826,"$163,016,810.00 ",3.7,115744,0,0
43912,"Kansas City, MO--KS",1674218,11280131,726990,44933353,12559864,"$126,613,625.00 ",11,336405,3664124,"$10,264,064.00 ",10943726,41269229,"$116,349,561.00 ",11.2,336405,0,2672
